id	url	page
409c4164fa2a35cf9d3961ad77874751	https://mfa.gov.sc/news/accreditation-of-the-new-imf-resident-representative/	5
9ca034ed23ef36e4b01ce9ab6f2215d5	https://mfa.gov.sc/news/hon-kwame-acquah-appointment-to-ficac-board/	5
5db01747a9b53171bea7d29d3f5010f7	https://mfa.gov.sc/news/43rd-comesa-meeting-of-intergovernmental-committee-and-43rd-council-of-ministers-meeting/	5
5cac1afe6c3b37f59f3a1b4a62e1ed06	https://mfa.gov.sc/news/president-ramkalawan-sends-a-message-of-condolence-to-president-xi-jinping/	5
77d1cce78d433ff7a1c693810f4adb53	https://mfa.gov.sc/news/the-principal-secretary-for-foreign-affairs-receives-the-ambassador-designate-of-the-republic-of-korea/	5
d240d625bf2a3ef383e63d319434aae6	https://mfa.gov.sc/news/cecile-hibbs-honoured-as-she-joins-the-seychellois-centenarians-club/	5
dccb7b7c63ac39bab47691d83bddbf58	https://mfa.gov.sc/news/the-government-of-seychelles-signs-two-memoranda-of-understanding-under-the-high-impact-community-development-project-grant-with-the-government-of-india/	6
62fb7b18bd7030d3870ef9c28f146f0d	https://mfa.gov.sc/news/echange-courtois-avec-la-ministre-belge-des-affaires-etrangeres/	6
5e813646d29d3625b1caf81be464e0ee	https://mfa.gov.sc/news/ambassador-vivianne-fock-tave-receives-the-newly-accredited-high-commissioner-of-india/	6
7c762058432a393db1f934fca5f4eb43	https://mfa.gov.sc/news/charge-d-affairs-e-p-of-the-republic-of-indonesia-presents-letters-of-credentials/	6
4b6db4639a3036b99ce1b4eac36cef97	https://mfa.gov.sc/news/leko-diplomatik-foreign-affairs-department-newsletter-fifth-edition-2022/	6
924642cddf97326f86af82d45c815b94	https://mfa.gov.sc/news/minister-sylvestre-radegonde-met-with-the-rt-hon-mr-andrew-mitchell-mp/	6
dadffd8f0c903505ae49725b1f8be54a	https://mfa.gov.sc/news/courtesy-call-by-ambassador-mary-oneill-on-minister-sylvestre-radegonde/	6
10fe44ced7913e829de738cf417fd4a5	https://mfa.gov.sc/news/president-ramkalawan-congratulates-the-new-prime-minister-of-the-united-kingdom-of-great-britain-and-northern-ireland/	6
144573b4ba593820a554f8dfe699d4fb	https://mfa.gov.sc/news/seychelles-biennial-honorary-consuls-conference-2022-draws-to-a-close/	6
